id,cost,category,brand,retail_price,department,fulfillment_id
27569,92.6525625942932,Swim,2XU,150.41000366210938,Men,1
27445,23.71966119429112,Swim,TYR,38.9900016784668,Men,1
27457,15.597600255095958,Swim,TYR,27.600000381469727,Men,1
27466,17.850000048056245,Swim,TYR,30.0,Men,1
27481,28.608000515669584,Swim,TYR,45.950000762939446,Men,1
27487,15.055589914467037,Swim,TYR,26.489999771118164,Men,1
27510,22.87175048463792,Swim,TYR,39.950000762939446,Men,1
27529,23.124000120162965,Swim,TYR,36.0,Men,1
27537,25.253911066282686,Swim,TYR,39.9900016784668,Men,1
27552,18.917550501902404,Swim,TYR,33.95000076293945,Men,1
27599,15.436200169558823,Swim,TYR,26.51000022888184,Men,1
27674,26.765919520119127,Swim,TYR,44.959999084472656,Men,1
27812,15.694039896076578,Swim,TYR,24.989999771118164,Men,1
27960,14.575000037904829,Swim,TYR,25.0,Men,1
27976,17.035750499164685,Swim,TYR,28.950000762939453,Men,1
28039,20.798000088334085,Swim,TYR,38.0,Men,1
28167,25.440000048279757,Swim,TYR,40.0,Men,1
28204,30.440000083297488,Swim,TYR,52.0,Men,1
27630,73.37999995350835,Swim,Onia,130.0,Men,1
27946,93.47000022903084,Swim,Onia,145.0,Men,1
27912,31.60799999833107,Swim,2EROS,56.0,Men,1
28165,22.31979105252684,Swim,Matix,40.4900016784668,Men,1
27490,11.052729893707184,Swim,Alki'i,16.989999771118164,Men,1
27635,11.258549908068776,Swim,Alki'i,16.989999771118164,Men,1
27420,24.339500060735737,Swim,Hurley,39.5,Men,1
27425,31.30000006332993,Swim,Hurley,50.0,Men,1
27442,41.16000008136034,Swim,Hurley,65.0,Men,1
27443,27.58500007912517,Swim,Hurley,45.0,Men,1
27450,35.22000009343028,Swim,Hurley,55.0,Men,1
27452,38.30500009516254,Swim,Hurley,65.0,Men,1
27460,77.65950009562076,Swim,Hurley,139.5,Men,1
27471,21.800000052154065,Swim,Hurley,35.0,Men,1
27474,30.50500015243888,Swim,Hurley,55.0,Men,1
27498,35.770000133663416,Swim,Hurley,65.0,Men,1
27530,40.55000005327165,Swim,Hurley,65.0,Men,1
27545,96.62750049009921,Swim,Hurley,149.5,Men,1
27546,34.975000102445485,Swim,Hurley,55.0,Men,1
27561,29.75000009387732,Swim,Hurley,50.0,Men,1
27566,41.355000142380604,Swim,Hurley,65.0,Men,1
27571,64.4000000923872,Swim,Hurley,100.0,Men,1
27594,40.375000106543304,Swim,Hurley,65.0,Men,1
27597,18.782300525055078,Swim,Hurley,29.450000762939453,Men,1
27605,34.74500004835427,Swim,Hurley,55.0,Men,1
27634,27.11000003218651,Swim,Hurley,45.0,Men,1
27647,38.40000012591481,Swim,Hurley,65.0,Men,1
27650,37.0450000513345,Swim,Hurley,65.0,Men,1
27653,25.68000003285706,Swim,Hurley,45.0,Men,1
27770,36.71000006198883,Swim,Hurley,65.0,Men,1
27784,40.85354812302887,Swim,Hurley,64.94999694824219,Men,1
27790,42.30000003874302,Swim,Hurley,65.0,Men,1
27813,23.839609183508305,Swim,Hurley,38.18999862670898,Men,1
27825,82.79384836797377,Swim,Hurley,139.4499969482422,Men,1
27826,41.652548032958805,Swim,Hurley,64.94999694824219,Men,1
27834,13.83475002720952,Swim,Hurley,20.75,Men,1
27847,32.93000005818904,Swim,Hurley,55.0,Men,1
27874,30.955000037699932,Swim,Hurley,55.0,Men,1
27903,37.35850017555058,Swim,Hurley,59.5,Men,1
27910,25.48500013947487,Swim,Hurley,45.0,Men,1
27945,33.272650592157994,Swim,Hurley,51.950000762939446,Men,1
27954,26.35000009723008,Swim,Hurley,45.0,Men,1
27967,35.02000009343028,Swim,Hurley,55.0,Men,1
27979,54.301298295282564,Swim,Hurley,87.94999694824217,Men,1
27994,34.06000008769333,Swim,Hurley,55.0,Men,1
28042,41.92000012397766,Swim,Hurley,65.0,Men,1
28127,37.79680057706386,Swim,Hurley,59.450000762939446,Men,1
28131,23.763200705724955,Swim,Hurley,37.130001068115234,Men,1
28234,13.718239994654656,Swim,Hurley,24.079999923706048,Men,1
28250,40.023648228818914,Swim,Hurley,64.94999694824219,Men,1
27527,33.57800009213388,Swim,TRUNKS,54.0,Men,1
27734,24.05772114352018,Swim,TRUNKS,37.9900016784668,Men,1
27827,35.3379999935627,Swim,TRUNKS,54.0,Men,1
27809,24.96929078351617,Swim,Ezekiel,44.310001373291016,Men,1
27692,32.548000088334085,Swim,Rufskin,52.0,Men,1
27758,34.44000006467104,Swim,Rufskin,56.0,Men,1
27862,28.055000039562582,Swim,Rufskin,45.0,Men,1
27916,33.1020000949502,Swim,Rufskin,54.0,Men,1
27922,29.21200004220009,Swim,Rufskin,48.0,Men,1
27958,34.04399999678135,Swim,Rufskin,54.0,Men,1
28001,29.05200014412403,Swim,Rufskin,52.0,Men,1
28017,32.700000029802325,Swim,Rufskin,50.0,Men,1
28125,30.8200000949204,Swim,Rufskin,52.0,Men,1
28135,31.476000072062014,Swim,Rufskin,52.0,Men,1
28198,16.957199192422628,Swim,Converse,32.349998474121094,Men,1
